https://en.wikipedia.org/wiki/List_of_surahs_in_The_Quran
al-Fatiḥa | The Opening Chapter
al-Baqara | The Cow
Āl-i-’Imrān | The Family of ’Imrān
al-Nisāa | The Women
al-Māïda | The Table Spread
al-An’ām | The Cattle
al-A’rāf | The Heights
al-Anfāl | The Spoils of War
at-Tauba | Repentance
Yūnus | Jonah
Hūd
Yūsuf | Joseph
al-Ra’d | The Thunder
Ibrāhim | Abraham
al-Ḥijr | The Stoneland
an-Naḥl | The Bee
al-Isra | The Night Journey
al-Kahf | The Cave
Maryam | Mary
Ṭā Hā
al-Anbiyāa | The Prophets
al-Hajj | The Pilgrimage
al-Mū'minūn | The Believers
an-Nūr | Light
al-Furqān | The Criterion
ash-Shu‘arāa | The Poets
an-Naml | The Ants
al-Qaṣaṣ | The Narration
al-‘Ankabūt | The Spider
ar-Rūm | The Romans
Luqmān (The Wise)
as-Sajda | Adoration
al-Aḥzāb | The Confederates
Sabā | Sheba
Fāṭir | The Originator
Yā-Sīn
as-Ṣāffāt | Those Ranged in Ranks
Ṣād
az-Zumar | The Crowds
Ghafir | The Forgiving
Fussilat | The Expounded
ash-Shūrā | Consultation
az-Zukhruf | The Gold Adornments
ad-Dukhān | The Smoke
al-Jāthiya | Bowing The Knee
al-Aḥqāf | Winding Sandtracts
Muḥammad (The Prophet)
al-Fatḥ | Victory
al-Ḥujurāt | The Inner Apartments
Qāf
ad-Dhāriyāt | The Scattering Winds
at-Ṭūr | The Mount
an-Najm | The Star
al-Qamar | The Moon
ar-Raḥmān | The Most Merciful
al-Wāqi‘a | That Which Must Come To Pass
al-Ḥadid | The Iron
al-Mujādila | The Pleading Woman
al-Ḥashr | The Gathering
al-Mumtaḥana | The Woman To Be Examined
as-Ṣaff | The Ranks
al-Jumu‘a | The Congregation
al-Munāfiqūn | The Hypocrites
at-Tagābun | Mutual Loss and Gain
at-Ṭalāq | Divorce
at-Taḥrīm | The Prohibition
al-Mulk | Sovereignty
al-Qalam | The Pen
al-Ḥāqqa | The Sure Reality
al-Ma‘ārij | The Ways of Ascent
Nūḥ | Noah
al-Jinn | The Spirits
al-Muzzammil | The Enshrouded One
al-Muddaththir | The Cloaked One
al-Qiyāmat | The Day of Resurrection
al-Insān | The Human
al-Mursalāt | Those Sent Forth
al-Nabaa | The Great News
al-Nāzi’āt | Those Who Drag Forth
’Abasa | He Frowned
al-Takwīr | The Folding Up
al-Infiṭār | The Cleaving Asunder
al-Mutaffifeen | Those Dealing in Fraud
al-Inshiqāq | The Rending Asunder
al-Burūj | The Zodiacal Signs
at-Ṭāriq | The Night-Visitant
al-A‘la | The Most High
al-Ghāshiya | The Overwhelming Event
al-Fajr | Dawn
al-Balad | The City
ash-Shams | The Sun
al-Lail | The Night
ad-Dhuḥā | The Glorious Morning Light
al-Inshirāḥ | Solace
at-Tīn | The Fig
al-'A;aw | The Germ-Cell
al-Qadr | The Night of Honor
al-Baiyina | The Evidence of Truth
az-Zilzāl | The Earthquake
al-’Ādiyāt | The Chargers
al-Qāri’a | The Sudden Calamity
at-Takathur | Piling Up
al-‘Aṣr | The Flight of Time
al-Humaza | The Scandal-monger
al-Fīl | The Elephant
al-Quraish | The Quraish
al-Mā’ūn | Neighborly Assistance
al-Kauthar | Abundance
al-Kāfirūn | Those Who Reject Faith
an-Naṣr | Divine Help
al-Masad | The Twisted Strands
al-Ikhlāṣ | Purity of Faith
al-Falaq | The Rising Dawn
al-Nās | Mankind 
